timestamp,price
2025-04-07T22:01:27.059913+00:00,6.5
2025-04-07T22:02:40.898156+00:00,6.5
2025-04-07T22:04:01.075678+00:00,6.43
2025-04-07T22:05:21.973261+00:00,6.32
2025-04-07T22:06:42.864569+00:00,6.27
2025-04-07T22:08:02.405667+00:00,6.35
2025-04-07T22:09:23.630127+00:00,6.26
2025-04-07T22:10:44.828351+00:00,6.27
2025-04-07T22:12:05.928953+00:00,6.3
2025-04-07T22:13:27.346489+00:00,6.23
2025-04-07T22:14:48.761055+00:00,6.24
2025-04-07T22:16:09.792283+00:00,6.31
2025-04-07T22:17:31.792467+00:00,6.4
2025-04-07T22:18:54.917271+00:00,6.34
2025-04-07T22:20:16.462385+00:00,6.32
2025-04-07T22:21:36.848045+00:00,6.44
2025-04-07T22:22:58.157955+00:00,6.5
2025-04-07T22:24:21.001283+00:00,6.5
2025-04-07T22:25:43.948679+00:00,6.5
2025-04-07T22:27:03.568846+00:00,6.5
2025-04-07T22:28:46.951477+00:00,6.45
2025-04-07T22:30:08.976602+00:00,6.5
2025-04-07T22:31:32.027905+00:00,6.45
2025-04-07T22:32:54.953089+00:00,6.49
2025-04-07T22:34:16.386029+00:00,6.38
2025-04-07T22:35:39.378197+00:00,6.32
2025-04-07T22:37:01.456805+00:00,6.22
2025-04-07T22:38:24.407092+00:00,6.16
2025-04-07T22:39:47.456009+00:00,6.16
2025-04-07T22:41:09.375341+00:00,6.09
2025-04-07T22:42:30.896384+00:00,6.05
2025-04-07T22:43:54.148153+00:00,5.98
2025-04-07T22:45:17.027793+00:00,6.0
2025-04-07T22:46:38.709322+00:00,6.12
2025-04-07T22:48:01.352078+00:00,6.03
2025-04-07T22:49:22.280251+00:00,6.02
2025-04-07T22:50:46.422727+00:00,6.06
2025-04-07T22:52:08.957197+00:00,5.97
2025-04-07T22:53:30.713753+00:00,5.96
2025-04-07T22:54:51.774553+00:00,5.91
2025-04-07T22:56:15.199477+00:00,6.0
2025-04-07T22:57:38.079781+00:00,6.18
2025-04-07T22:58:58.876050+00:00,6.2
2025-04-07T23:00:20.488508+00:00,6.26
2025-04-07T23:01:42.103745+00:00,6.18
2025-04-07T23:03:04.436512+00:00,6.22
2025-04-07T23:04:25.377167+00:00,6.22
2025-04-07T23:05:47.869328+00:00,6.14
2025-04-07T23:07:10.398122+00:00,6.24
2025-04-07T23:08:33.246887+00:00,6.27
2025-04-07T23:09:55.382341+00:00,6.26
2025-04-07T23:11:16.372068+00:00,6.14
2025-04-07T23:12:39.008744+00:00,6.1
2025-04-07T23:14:00.625312+00:00,6.15
2025-04-07T23:15:22.547426+00:00,6.09
2025-04-07T23:16:44.979106+00:00,6.13
2025-04-07T23:18:07.416912+00:00,6.23
2025-04-07T23:19:28.083370+00:00,6.18
2025-04-07T23:20:49.201786+00:00,6.34
2025-04-07T23:22:09.385381+00:00,6.35
2025-04-07T23:23:29.926033+00:00,6.23
2025-04-07T23:24:51.192636+00:00,6.21
2025-04-07T23:26:11.868526+00:00,6.36
2025-04-07T23:27:33.583978+00:00,6.45
2025-04-07T23:28:55.196928+00:00,6.34
2025-04-07T23:30:16.878728+00:00,6.43
2025-04-07T23:31:37.808972+00:00,6.37
2025-04-07T23:32:58.578824+00:00,6.43
2025-04-07T23:34:20.723336+00:00,6.41
2025-04-07T23:35:42.852490+00:00,6.5
2025-04-07T23:37:04.359660+00:00,6.37
2025-04-07T23:38:24.333841+00:00,6.46
2025-04-07T23:39:46.053988+00:00,6.48
2025-04-07T23:41:07.566241+00:00,6.5
2025-04-07T23:42:29.156788+00:00,6.43
2025-04-07T23:43:51.325910+00:00,6.48
2025-04-07T23:45:11.891653+00:00,6.5
2025-04-07T23:46:32.992120+00:00,6.5
2025-04-07T23:47:55.375358+00:00,6.49
2025-04-07T23:49:16.013647+00:00,6.48
2025-04-07T23:50:38.347506+00:00,6.45
2025-04-07T23:51:59.460243+00:00,6.5
2025-04-07T23:53:19.930546+00:00,6.5
2025-04-07T23:54:41.230602+00:00,6.5
2025-04-07T23:56:02.335454+00:00,6.5
2025-04-07T23:57:22.104063+00:00,6.5
2025-04-07T23:58:42.178354+00:00,6.44
2025-04-08T00:00:02.468904+00:00,6.47
2025-04-08T00:01:23.563771+00:00,6.5
2025-04-08T00:02:44.660543+00:00,6.42
2025-04-08T00:04:05.469634+00:00,6.46
2025-04-08T00:05:27.443889+00:00,6.38
2025-04-08T00:06:47.758801+00:00,6.5
2025-04-08T00:08:09.680220+00:00,6.46
2025-04-08T00:09:30.421857+00:00,6.5
2025-04-08T00:10:51.466063+00:00,6.5
